0.01,100,2000,252306_at,248791_at,261181_at,264934_at,257943_at,253724_at,264500_at,262726_at,258116_at,264054_at,245371_at,257438_at,254336_at,260990_at,258490_at,255073_at,258130_at,263988_at,267198_at,254202_at,253346_at,245892_at,258980_at,248593_at,248405_at,259844_at,246889_at,255014_at,256645_at,257934_at,267218_at,254394_at,245467_at,257944_at,248994_at,253463_at,258322_at,248830_at,251674_at,245624_at,254906_at,249241_at,247666_at,253433_s_at,258751_at,265091_s_at,248297_at,250477_at,248849_at,264610_at,257089_at,250083_at,256223_at,257942_at,246466_at
0.01,250,100,248791_at,252306_at,264500_at,264934_at,261181_at,245371_at,258116_at,257943_at,253724_at,254336_at,260990_at,258130_at,262726_at,263988_at,245892_at,267198_at,259844_at,267218_at,248405_at,255073_at,248593_at,254394_at,246889_at,257934_at,256645_at,257438_at,264610_at,253463_at,257944_at,253346_at,251674_at,245624_at,250083_at,245467_at,264054_at,249241_at,246466_at,247666_at,248830_at,245560_at,248297_at,255014_at,261533_at,253433_s_at,258490_at,265091_s_at,247796_at,248022_at,254202_at,254146_at,258980_at,250477_at,250026_at,248849_at,249549_at
0.01,250,250,252306_at,248791_at,264500_at,261181_at,264934_at,245371_at,258116_at,257943_at,254336_at,260990_at,262726_at,253724_at,263988_at,258130_at,267218_at,267198_at,248405_at,248593_at,245892_at,246889_at,257438_at,255073_at,259844_at,253463_at,253346_at,257934_at,257944_at,254394_at,264610_at,251674_at,245624_at,249241_at,253433_s_at,256645_at,255014_at,261533_at,258490_at,248830_at,250083_at,248297_at,245467_at,247666_at,246466_at,265091_s_at,254906_at,245560_at,254202_at,264054_at,247796_at,254900_at,258980_at,254146_at,248022_at,248994_at,250477_at
0.01,250,500,252306_at,248791_at,264500_at,261181_at,245371_at,264934_at,258116_at,257943_at,260990_at,253724_at,254336_at,258130_at,263988_at,267198_at,262726_at,267218_at,255073_at,248405_at,245892_at,259844_at,246889_at,248593_at,253463_at,257934_at,254394_at,257438_at,264610_at,253346_at,245624_at,257944_at,255014_at,251674_at,250083_at,256645_at,258490_at,247666_at,248297_at,245560_at,253433_s_at,245467_at,254202_at,261533_at,246466_at,264054_at,265091_s_at,248830_at,249241_at,254906_at,248022_at,258980_at,248994_at,250477_at,254146_at,247796_at,257089_at
0.01,250,1000,252306_at,248791_at,264500_at,261181_at,245371_at,264934_at,258116_at,257943_at,260990_at,254336_at,253724_at,262726_at,258130_at,263988_at,267218_at,267198_at,248405_at,259844_at,245892_at,255073_at,248593_at,246889_at,257438_at,253463_at,257934_at,253346_at,264610_at,254394_at,257944_at,245624_at,250083_at,255014_at,256645_at,258490_at,248297_at,247666_at,254202_at,245467_at,253433_s_at,246466_at,249241_at,245560_at,251674_at,265091_s_at,261533_at,248830_at,264054_at,248022_at,250477_at,254906_at,258980_at,254146_at,247796_at,248994_at,250026_at
0.01,250,1500,252306_at,248791_at,264500_at,261181_at,245371_at,264934_at,258116_at,257943_at,260990_at,254336_at,262726_at,253724_at,258130_at,263988_at,267198_at,267218_at,248405_at,245892_at,259844_at,255073_at,248593_at,253463_at,246889_at,257438_at,257934_at,254394_at,264610_at,257944_at,253346_at,245624_at,250083_at,258490_at,255014_at,256645_at,251674_at,245467_at,253433_s_at,261533_at,249241_at,245560_at,254202_at,248297_at,247666_at,265091_s_at,246466_at,248830_at,264054_at,248022_at,254906_at,250477_at,258980_at,254146_at,250026_at,247796_at,249549_at
0.01,250,2000,252306_at,248791_at,264500_at,261181_at,245371_at,264934_at,258116_at,257943_at,260990_at,254336_at,262726_at,253724_at,258130_at,267198_at,263988_at,267218_at,248405_at,245892_at,259844_at,255073_at,248593_at,246889_at,253463_at,257934_at,257438_at,254394_at,257944_at,264610_at,253346_at,258490_at,245624_at,256645_at,251674_at,255014_at,253433_s_at,250083_at,247666_at,245467_at,249241_at,265091_s_at,261533_at,248297_at,254202_at,245560_at,248830_at,246466_at,264054_at,254906_at,248022_at,258980_at,254146_at,248994_at,250477_at,247796_at,250026_at
0.01,500,100,248791_at,264500_at,261181_at,252306_at,245371_at,258116_at,260990_at,254336_at,264934_at,267218_at,257943_at,258130_at,263988_at,267198_at,248405_at,262726_at,259844_at,245892_at,253724_at,248593_at,255073_at,264610_at,245624_at,250083_at,246889_at,253463_at,265091_s_at,245560_at,261533_at,250794_at,257934_at,254146_at,267620_at,254394_at,257944_at,253433_s_at,258590_at,248297_at,246466_at,258352_at,246966_at,251674_at,257438_at,249241_at,248022_at,256773_at,247697_at,259107_at,247785_at,262103_at,253346_at,248830_at,262545_at,255014_at,249502_s_at
0.01,500,250,248791_at,264500_at,252306_at,261181_at,245371_at,260990_at,264934_at,258116_at,267218_at,254336_at,258130_at,257943_at,263988_at,248405_at,267198_at,245892_at,262726_at,253724_at,259844_at,255073_at,253463_at,246889_at,264610_at,248593_at,257934_at,245624_at,250083_at,245560_at,257944_at,261533_at,254394_at,250794_at,265091_s_at,246466_at,267620_at,254146_at,258590_at,257438_at,258352_at,248297_at,251674_at,247697_at,253433_s_at,247785_at,246966_at,249241_at,247796_at,248022_at,253346_at,262103_at,259107_at,256773_at,250026_at,247666_at,256645_at
0.01,500,500,248791_at,264500_at,252306_at,261181_at,245371_at,254336_at,258116_at,264934_at,260990_at,267218_at,263988_at,257943_at,267198_at,248405_at,258130_at,262726_at,253724_at,259844_at,245892_at,264610_at,255073_at,253463_at,248593_at,246889_at,250083_at,245624_at,257934_at,261533_at,245560_at,265091_s_at,257944_at,254394_at,250794_at,267620_at,253433_s_at,254146_at,258590_at,248297_at,246966_at,251674_at,246466_at,258352_at,247796_at,247697_at,249241_at,257438_at,259107_at,248022_at,247785_at,253346_at,256773_at,249502_s_at,258342_at,248830_at,256645_at
0.01,500,1000,248791_at,264500_at,252306_at,261181_at,245371_at,254336_at,258116_at,260990_at,264934_at,267218_at,258130_at,263988_at,257943_at,248405_at,267198_at,262726_at,253724_at,245892_at,259844_at,246889_at,255073_at,264610_at,253463_at,248593_at,257934_at,245624_at,250083_at,261533_at,245560_at,254394_at,257944_at,265091_s_at,250794_at,267620_at,253433_s_at,258590_at,254146_at,258352_at,251674_at,257438_at,246966_at,246466_at,248297_at,247785_at,248022_at,247697_at,247796_at,259107_at,249241_at,253346_at,248830_at,262103_at,256773_at,249502_s_at,256645_at
0.01,500,1500,248791_at,264500_at,252306_at,261181_at,245371_at,264934_at,254336_at,260990_at,258116_at,267218_at,258130_at,257943_at,267198_at,263988_at,248405_at,253724_at,262726_at,259844_at,245892_at,255073_at,264610_at,257934_at,246889_at,261533_at,250083_at,253463_at,248593_at,245624_at,245560_at,254394_at,265091_s_at,257944_at,250794_at,254146_at,267620_at,258590_at,253433_s_at,258352_at,246966_at,251674_at,246466_at,248297_at,247785_at,248022_at,247796_at,247697_at,249241_at,259107_at,257438_at,253346_at,256773_at,262103_at,255014_at,256645_at,245467_at
