"alpha"	"tile size"	"iterations"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55
"0.01"	250	500	"259089_at"	"265441_at"	"248496_at"	"261375_at"	"255644_at"	"256259_at"	"249939_at"	"263092_at"	"245842_at"	"249005_at"	"254227_at"	"257051_at"	"251979_at"	"267528_at"	"255448_at"	"264907_at"	"255906_at"	"260355_at"	"253108_at"	"264180_at"	"246380_at"	"255609_s_at"	"249614_at"	"262680_at"	"248227_at"	"257130_at"	"245571_at"	"259802_at"	"248111_at"	"247469_at"	"251229_at"	"263546_at"	"264489_at"	"264137_at"	"264444_at"	"260806_at"	"250636_at"	"264752_at"	"247447_at"	"251560_at"	"257129_at"	"261514_at"	"267460_at"	"254574_at"	"256418_at"	"264830_at"	"266652_at"	"257089_at"	"261575_at"	"254494_at"	"264016_at"	"257402_at"	"251555_at"	"252063_at"	"263306_at"
"0.01"	250	1000	"259089_at"	"265441_at"	"248496_at"	"261375_at"	"255644_at"	"263092_at"	"256259_at"	"249939_at"	"245842_at"	"249005_at"	"257051_at"	"254227_at"	"251979_at"	"267528_at"	"264907_at"	"255448_at"	"255906_at"	"260355_at"	"253108_at"	"264180_at"	"249614_at"	"246380_at"	"255609_s_at"	"262680_at"	"257130_at"	"248227_at"	"245571_at"	"259802_at"	"264489_at"	"260806_at"	"248111_at"	"264137_at"	"251229_at"	"264444_at"	"247469_at"	"263546_at"	"250636_at"	"264752_at"	"251560_at"	"247447_at"	"261514_at"	"254574_at"	"264830_at"	"257129_at"	"267460_at"	"257089_at"	"266652_at"	"261575_at"	"256418_at"	"257402_at"	"258506_at"	"251232_at"	"254494_at"	"250491_at"	"262697_at"
"0.01"	250	1500	"259089_at"	"265441_at"	"248496_at"	"261375_at"	"255644_at"	"249939_at"	"256259_at"	"263092_at"	"245842_at"	"249005_at"	"257051_at"	"251979_at"	"254227_at"	"255448_at"	"267528_at"	"264907_at"	"255906_at"	"260355_at"	"253108_at"	"264180_at"	"249614_at"	"262680_at"	"255609_s_at"	"248227_at"	"257130_at"	"246380_at"	"245571_at"	"264489_at"	"259802_at"	"248111_at"	"263546_at"	"247469_at"	"260806_at"	"264137_at"	"264444_at"	"250636_at"	"264830_at"	"264752_at"	"251560_at"	"251229_at"	"247447_at"	"261514_at"	"257129_at"	"254574_at"	"267460_at"	"257089_at"	"256418_at"	"257402_at"	"266652_at"	"254494_at"	"258506_at"	"264016_at"	"261575_at"	"251232_at"	"262697_at"
"0.01"	250	2000	"259089_at"	"265441_at"	"248496_at"	"261375_at"	"255644_at"	"249939_at"	"256259_at"	"263092_at"	"245842_at"	"249005_at"	"257051_at"	"251979_at"	"255448_at"	"267528_at"	"264907_at"	"254227_at"	"255906_at"	"260355_at"	"264180_at"	"253108_at"	"249614_at"	"245571_at"	"255609_s_at"	"262680_at"	"248227_at"	"246380_at"	"264489_at"	"257130_at"	"259802_at"	"260806_at"	"248111_at"	"251229_at"	"247469_at"	"263546_at"	"264444_at"	"250636_at"	"264752_at"	"247447_at"	"264137_at"	"251560_at"	"264830_at"	"261514_at"	"267460_at"	"257129_at"	"254574_at"	"257089_at"	"266652_at"	"256418_at"	"261575_at"	"257402_at"	"258506_at"	"252063_at"	"251232_at"	"254494_at"	"250491_at"
"0.01"	500	20	"259089_at"	"248496_at"	"261375_at"	"265441_at"	"255644_at"	"245842_at"	"263092_at"	"267528_at"	"249939_at"	"255448_at"	"256259_at"	"255609_s_at"	"249614_at"	"260355_at"	"249005_at"	"264907_at"	"262680_at"	"257051_at"	"264752_at"	"248227_at"	"250636_at"	"259802_at"	"247469_at"	"264180_at"	"264489_at"	"264444_at"	"251979_at"	"248111_at"	"253108_at"	"246380_at"	"253987_at"	"245571_at"	"255906_at"	"254574_at"	"258962_at"	"257034_at"	"247447_at"	"263546_at"	"254234_at"	"261514_at"	"264019_at"	"264016_at"	"256597_at"	"254227_at"	"261575_at"	"245819_at"	"264830_at"	"253712_at"	"257579_at"	"251560_at"	"257089_at"	"264137_at"	"256418_at"	"266738_at"	"267460_at"
"0.01"	500	50	"259089_at"	"248496_at"	"265441_at"	"261375_at"	"255644_at"	"267528_at"	"263092_at"	"245842_at"	"249939_at"	"255448_at"	"256259_at"	"257051_at"	"249005_at"	"262680_at"	"264907_at"	"260355_at"	"251979_at"	"255609_s_at"	"249614_at"	"264180_at"	"248227_at"	"247469_at"	"264489_at"	"247447_at"	"245571_at"	"264444_at"	"250636_at"	"255906_at"	"259802_at"	"264752_at"	"248111_at"	"253108_at"	"246380_at"	"257130_at"	"261575_at"	"254175_at"	"263546_at"	"255777_at"	"257129_at"	"251232_at"	"257089_at"	"262697_at"	"250491_at"	"253987_at"	"248368_at"	"261514_at"	"257402_at"	"267460_at"	"257504_at"	"264016_at"	"256597_at"	"258506_at"	"266652_at"	"257034_at"	"251229_at"
"0.01"	500	100	"259089_at"	"248496_at"	"265441_at"	"261375_at"	"255644_at"	"263092_at"	"249939_at"	"245842_at"	"267528_at"	"249005_at"	"256259_at"	"251979_at"	"264907_at"	"255448_at"	"249614_at"	"255609_s_at"	"248227_at"	"262680_at"	"260355_at"	"257051_at"	"253108_at"	"259802_at"	"246380_at"	"264444_at"	"247469_at"	"264180_at"	"247447_at"	"261514_at"	"264489_at"	"264752_at"	"245571_at"	"254574_at"	"263546_at"	"257130_at"	"261575_at"	"257402_at"	"255906_at"	"250491_at"	"257129_at"	"267460_at"	"250636_at"	"248111_at"	"256597_at"	"264016_at"	"251560_at"	"254494_at"	"257034_at"	"258506_at"	"260806_at"	"253987_at"	"254175_at"	"257089_at"	"262697_at"	"265261_at"	"254227_at"
"0.01"	500	250	"259089_at"	"248496_at"	"265441_at"	"255644_at"	"261375_at"	"249939_at"	"263092_at"	"245842_at"	"256259_at"	"255448_at"	"267528_at"	"249005_at"	"260355_at"	"255609_s_at"	"249614_at"	"257051_at"	"248227_at"	"262680_at"	"264907_at"	"251979_at"	"253108_at"	"247469_at"	"259802_at"	"264180_at"	"245571_at"	"264489_at"	"247447_at"	"264444_at"	"264752_at"	"250636_at"	"246380_at"	"257129_at"	"261514_at"	"267460_at"	"248111_at"	"261575_at"	"255906_at"	"263546_at"	"257130_at"	"254175_at"	"264016_at"	"257504_at"	"248368_at"	"257402_at"	"256597_at"	"254574_at"	"257089_at"	"254227_at"	"258506_at"	"246250_at"	"262697_at"	"250491_at"	"264137_at"	"254494_at"	"263306_at"
"0.01"	500	500	"259089_at"	"248496_at"	"265441_at"	"261375_at"	"255644_at"	"249939_at"	"245842_at"	"263092_at"	"256259_at"	"255448_at"	"267528_at"	"249005_at"	"257051_at"	"264907_at"	"255609_s_at"	"249614_at"	"260355_at"	"262680_at"	"251979_at"	"248227_at"	"259802_at"	"253108_at"	"245571_at"	"247469_at"	"264180_at"	"246380_at"	"264444_at"	"264489_at"	"264752_at"	"247447_at"	"250636_at"	"261514_at"	"267460_at"	"257129_at"	"263546_at"	"248111_at"	"261575_at"	"254227_at"	"255906_at"	"257130_at"	"264016_at"	"254574_at"	"256597_at"	"250491_at"	"254175_at"	"248368_at"	"257089_at"	"257034_at"	"258506_at"	"266652_at"	"254494_at"	"257504_at"	"257402_at"	"246250_at"	"262697_at"
"0.01"	500	1000	"259089_at"	"248496_at"	"265441_at"	"261375_at"	"255644_at"	"249939_at"	"245842_at"	"263092_at"	"256259_at"	"267528_at"	"255448_at"	"249005_at"	"257051_at"	"264907_at"	"255609_s_at"	"249614_at"	"260355_at"	"248227_at"	"262680_at"	"251979_at"	"259802_at"	"253108_at"	"264180_at"	"264489_at"	"247469_at"	"246380_at"	"264752_at"	"264444_at"	"245571_at"	"247447_at"	"250636_at"	"267460_at"	"261514_at"	"248111_at"	"255906_at"	"263546_at"	"257129_at"	"261575_at"	"254574_at"	"254175_at"	"257130_at"	"258506_at"	"250491_at"	"264016_at"	"257034_at"	"257089_at"	"256597_at"	"257402_at"	"254494_at"	"254227_at"	"266652_at"	"257504_at"	"262697_at"	"248368_at"	"263306_at"
